,title,comments,nanashi,date,timetable,id
60,"
今いるおんj民全員かかってこいや！！😡
","🫵😡ワイの鬱憤晴らさせてもらうで！！
",名無し,2023/1/27,1:07:39,5szq
61,"
😎👌　　　　　　
","🥺🕶👌
",名無し,2023/1/27,1:07:27,k1DQ
62,"
【懐古】20年前から来たんかな？って思ってしまう人物にありがちな事ｗｗｗ
","髪色がうんち色
",名無し,2023/1/27,0:47:16,zmoe
63,"
【悲報】愛知県議「同性婚気持ち悪い」「同性がキスなんてまともな人が見たらどう思うか」
","　愛知県の渡辺昇県議（５４）＝無所属、名古屋市緑区選出、４期＝が今月、交流サイト（ＳＮＳ）に「同性婚が気持ち悪いと言って何がいけないのか」と投稿していたことが分かった。渡辺氏は昨年秋にも同様の書き込みをして問題視されている。　渡辺氏は今月２３日から２４日にかけ、東京都西東京市の女性市議のフェイスブックのアカウント上で、同市の性的少数者（ＬＧＢＴＱ）の男性（５７）と対立。男性が「同性結婚なんて気持ち悪い」と書き込んだ渡辺氏の昨年９月の投稿を取り上げると、渡辺氏は「同性婚が気持ち悪いと言って何がいけないんですか。世の中には同性婚を気持ち悪いと思う人がほとんどです」「同性がキスしたりするのは私のようなまともな人が見たらどう思うかお分かりですよね」などと書き込んだ。　渡辺氏は本紙の取材に「見ず知らずの男性が送ってきた文面に反論しただけだ」と説明。男性は「全然反省していない」と話した。https://www.chunichi.co.jp/article/624908
",名無し,2023/1/26,22:29:04,pzfB
64,"
PCとその他で発売日違うやつやめろよ
","みんないっせーので出せよなんの意地悪なの
",名無し,2023/1/27,1:05:34,shTe
65,"
IDに数字が入ってた人は寝れるスレ
","入ってないと3時まで起きとくものとするてす
",名無し,2023/1/27,0:02:04,SfdO
66,"
お前らがスプラトゥーンを辞めた理由
","もう誰もやってない模様
",名無し,2023/1/27,1:07:23,MvhO
67,"
関係ない部で見たこれ怖いンゴ
","日本でもやらかすバカが出てこないか？https://gigazine.net/news/20230119-children-dead-indian-kite-festival-uttarayan/
",名無し,2023/1/27,1:04:23,evuh
68,"
最近人生がまじでゴミカスなんやが
","現実では人と喋れないし彼女できないしネットの中ではレスバは負けるしマジでゴミだよゴミ
",名無し,2023/1/27,1:00:03,IST7
69,"
(‘ｊ’ )「 あ！ 今日土曜日ど！！！！！！！！！！！！！！！！！！！！！！！！！！」 !AA
","前スレ( ‘ｊ’ )「 あ！ 今日土曜日ど！！！！！！！！！！！！！！！！！！！！！！！！」https://hayabusa.open2ch.net/test/read.cgi/livejupiter/1630161618/前スレhttps://hayabusa.open2ch.net/test/read.cgi/livejupiter/1650639619/　　　　　　　　　　　　　 ／.i　　　　　　　　　　／i∠__ノ　　　　　　 ／.i∠__ノ‘ｊ’　)ﾉ　　ｴｰﾗｲﾔｯﾁｬ　　　　　∠／.i‘ｊ’　)ﾉ==|┘　　　　〈,(∠__ノﾉ ／.i__〈　　ｴｰﾗｲﾔｯﾁｬ　　　　 〈,(　‘ｊ’∠_／.i　　　　　└i=〈,(∠__ノﾉ　　　　　　　　　　　〈__〈,(　‘ｊ’　)ﾉ　　ｼﾞｪｲｼﾞｪｲｼﾞｪｲｼﾞｪｲ　　 　 　　　　└i===|┘　 　 　 　 　　　〈＿_〈これでいいのかね？
",名無し,2022/9/10,0:09:31,JxSp
70,"
たぬかな「チビは人権が～」　たぬかな騎士団「そうそう、たぬかなちゃんは間違ってないよ！巨乳だし美人だね😘😘😘」←これｗｗｗｗｗ
","たぬかなにガチギレしてるチビよりこういう性欲丸出しの囲いの言動のほうがキツいわ
",名無し,2023/1/27,1:03:02,5l8F
71,"
拷問官「3日間オナ禁しろ」
","30分目ワイ「ハアハア！」ビュルル
",名無し,2023/1/27,1:00:29,Hpxj
72,"
発泡酒って第三のビールよりええんか？
","どうなん有識者
",名無し,2023/1/27,0:51:50,tseA
73,"
三浦瑠麗、謝罪ヌード
","許す？
",名無し,2023/1/27,0:37:11,Hpxj
74,"
お→や→す→み　完成しないとイッチが寝れない2
","お前スレhttp://hayabusa.open2ch.net/test/read.cgi/livejupiter/1674657008/
",名無し,2023/1/26,23:53:06,eLac
75,"
出前館のラーメン屋でメニューにライスしかない店あって草
","やる気なくて草
",名無し,2023/1/27,0:34:30,KvQd
76,"
昨日見たスレで一番面白かったスレ教えて
","何も思いつきませんでしたね？これがメンタリズムです
",名無し,2023/1/27,0:55:28,McCV
77,"
アクションRPGで多段技ばっか使ってそうwひだり効きすぎて禁止カードに
","はい
",名無し,2023/1/26,22:56:33,AKwp
78,"
すしざんまいの社長
","すごく声が透き通ってるよな
",名無し,2023/1/27,0:53:32,H6KN
79,"
MGガンダムAGE1フルグランサ、かっこいい
","いいねー
",名無し,2023/1/27,0:56:08,XNJc
80,"
争いはNG←この風潮
","クソだよなワイはやられたらやり返すぞ
",名無し,2023/1/27,0:54:15,RMme
81,"
女が男に言う事聞かせるのって簡単よな
","おっぱい揉ませるだけでいい
",名無し,2023/1/27,0:44:09,JDEu
82,"
おんJでのチンハラ、無罪であることが証明される
","・おんJでチンハラする場合、基本的にimgur（アイムジャグラー）を使うことになる↓チンハラ主はあくまでimgurのリンクを貼ってるだけ↓そのリンクから直接画像が見れるようにしてるのはサトルが作った機能↓よってチンハラで逮捕されるのはさとる証明終了
",名無し,2023/1/27,0:43:18,GDCD
83,"
ワイの似顔絵
","怖い😭
",名無し,2023/1/27,0:44:43,vcbd
84,"
さとる「犯罪いうてもエロ画像貼って警察来るパターンが中心と思われる
"," 脅しじゃなくて本当に警察からしょっちゅう照会あるから みんな変な画像とか貼らんほうがいいょょょょきをつけて！https://twitter.com/satorunet/status/1084049657351757826
",名無し,2023/1/27,0:50:54,R9ai
85,"
ハリーポッターと
","!sk1賢者の,秘密の,アズカバンの,炎の,不死鳥の,謎の,死の,エッチな,ハーマイオニーの!sk2石,部屋,囚人,ゴブレット,騎士団,プリンス,秘宝,下着,乳首テンプレハリーポッターと!sk!sk2※追記 2023/01/27 00:46:44テンプレハリーポッターと!sk1!sk2
",名無し,2023/1/27,0:46:06,itQL
86,"
わいゆき「あのーなんだろう、射精するのやめてもらっていいすか？」寸止め
","わいゆき「ああ、ああ〜」ﾁｮﾛこれが現実
",名無し,2023/1/27,0:52:16,xkTn
87,"
電車で対面OLのパンツが見えた時のあの興奮
","ええよな
",名無し,2023/1/27,0:53:37,WhZ8
88,"
「伸るか反るか」あるある
","反ってるのを見たことがない
",名無し,2023/1/27,0:29:33,PWiR
89,"
東村山のニート息子二人抱えた一家心中事件って誰が悪いの？
","https://www.tokyo-np.co.jp/article/21883060代で借家住まいの両親長男家を出る2,4男　ニート3男　ミュージシャンの夢を追うも謎の失踪なんやこれ
",名無し,2023/1/27,0:53:27,SZyy
90,"
１０人が１００回レスしたら完走するという事実
","１００人が１０回でも可お前ら頼む
",名無し,2023/1/20,10:15:50,5V8M
91,"
8歳の女の子J民おらん？
","今日だけワイのママになってくれんか？
",名無し,2023/1/27,0:48:03,syWa
92,"
おんJ読書部9
","読んでる本の感想を書いたり書店で購入した本を紹介したり気になる本や探してる本を書いたり本に出てきた引用の元ネタ・出典を尋ねたり書誌情報を教えてもらったりそれぞれが好き勝手に活動してるスレや前スレhttps://hayabusa.open2ch.net/test/read.cgi/livejupiter/1660221737/l10
",新年ま,2022/12/30,30:38:58,V2y8
93,"
姉貴が酔ってパンツ丸出しやから晒すンゴ
","すぐ消す
",名無し,2023/1/27,0:46:24,WhZ8
94,"
【悲報】JR北海道さん、今年も雪に負ける
","https://twitter.com/doshinweb/status/1618443611145650176?t=jDfHP4aB4k6fsB7uvK23xw&s=19しゃーない
",名無し,2023/1/27,0:42:22,u9ju
95,"
ワイ「おっぱいない女は人権ないですw豊胸してくださいw」貧乳女「そう…(無関心)」ﾌｧｻｧ…
","これなんでなん？
",名無し,2023/1/27,0:47:55,f8NN
96,"
19歳童貞でちゅ！だから赤ちゃんなのです🥺
","もうすぐ20歳童貞でちゅ🥺
",名無し,2023/1/27,0:46:29,hl01
97,"
ワイが今まで見たまんJ民のえちえち画像wwwww
","まんこドアップ無修正写真JCの乳首うらやましい？
",名無し,2023/1/27,0:46:46,RMme
98,"
フェミのフリしたらアク禁された😭
","もっとワイにバレないネカマのやり方を伝授してくれ
",名無し,2023/1/27,0:32:02,nAVE
99,"
喜多ちゃん｢後藤さんちんぽでかいのね｣ ←言ってない
","喜多ちゃん｢セックス｣ ←言った
",名無し,2023/1/27,0:43:42,dmNW
100,"
ワイ「体、持ってくれよ！界王拳」
","!random倍だ！
",名無し,2023/1/27,0:48:44,9rG7
,title,comments,nanashi,date,timetable,id
0,,,,,,
1,"
【速報】「ルフィ」マニラで拘束中
","https://www.sanyonews.jp/sp/article/1356272?rct=global_kokusai
",名無し,23/01/27,13:18:10,JT2j
2,"
【悲報】暇空さん(40代男性)、さすがにキツい
","「自分は天才」だと自負新人の時からずば抜けていたと周りが証言ゲームでトップだったから自分には才能がある
",名無し,23/01/27,10:36:54,8jvl
3,"
【12球団総合】プロ野球雑談・議論 Part239
","・煽り荒らしはとりあえずバツポチで対応・次スレはアク引継ぎで>>950よろしく!jien!ngk【ＷＢＣ日本代表メンバー】◆投手大谷翔平（LAA）ダルビッシュ有（SD）戸郷翔征（巨人）佐々木朗希（ロッテ）山本由伸（オリックス）今永昇太（DeNA）松井裕樹（楽天）栗林良吏（広島）湯浅京己（阪神）大勢（巨人）宮城大弥（オリックス）宇田川優希（オリックス）高橋奎二（ヤクルト）高橋宏斗（中日）伊藤大海（日本ハム）◆捕手甲斐拓也（ソフトバンク）中村悠平（ヤクルト）大城卓三（巨人）◆内野手源田壮亮（西武）牧秀悟（DeNA）村上宗隆（ヤクルト）山田哲人（ヤクルト）山川穂高（西武）周東佑京（ソフトバンク）中野拓夢（阪神）岡本和真（巨人）◆外野手近藤健介（ソフトバンク）鈴木誠也（CHC）吉田正尚（BOS）L.ヌートバー（STL）前スレhttp://hayabusa.open2ch.net/test/read.cgi/livejupiter/1674716877/
",名無し,23/01/27,10:26:43,NKQf
4,"
ユニクロとGUでどんな冬服買えばいい？
","オシャレに自信J民きてくれ
",名無し,23/01/27,12:53:13,8woi
5,"
なぁAdoって冷静に考えて宇多田ヒカル以上の天才なんじゃね？
","うっせぇわ、踊、ギラギラ、レディメイド、阿修羅ちゃん、金木犀、新時代、逆光、私は最強まだ10代やぞ？
",名無し,23/01/27,14:13:23,LyeY
6,"
【悲報】ウクライナにようやく戦車供与、どうして最初からやらないのか…😭
","今更やが絶対にNATO軍が最初期にウクライナに入るべきやったで
",名無し,23/01/27,12:05:39,0Z7u
7,"
お前ら「ニッコマはfラン！」高校時代ワイ「はぇ〜」→結果wwww
","どうなったと思う？
",名無し,23/01/27,13:55:31,vvzq
8,"
ドラクエおじさん「装備買え！そこ右！玉使え！セーブ！左宝箱！下手くそ！頭おかしいんか！？」配信者「…」
","自称親切なアドバイスをしてたおいたん達のせいで配信者は鬱休止復帰後はライブ配信せず録画配信のみとなりましたとさドラクエおいたんすげーな
",名無し,23/01/27,12:49:23,Phhp
9,"
【悲報】札幌ドームさん、イライラが止まらない
","ドーム批判の動画で一人めちゃくちゃ暴れてる模様
",名無し,23/01/27,14:11:52,8dDD
10,"
アオベエ「ウッホ〜！アカネの入浴を除くのは最高でゴンスーッ！w」
","ス　ケ　ベ　エ
",名無し,23/01/27,14:14:25,KvQd
11,"
ワイ将、22歳にしてやっと女性との接し方を「確立」する
","彼女と4年続いて、やっと女とちゃんと話せるようになったわ…
",名無し,23/01/27,14:00:21,eI7g
12,"
AIイラストやったことないやつｗｗｗ3
","https://waifus.nemusona.com/最新のanythingモデル。綺麗な画像ができるように設定済みだから絵柄を変えるのは難しいかも。使い方Positive Promptsに作りたい画像（制服黒髪ロングの例: girl, school uniform, black hair, long hair,）Negative Promptsは除外したいものGenerateで画像生成有名ならキャラ名だけでも作れる。日本語はほぼ認識しない。呪文生成サイトエロはないhttps://programming-school-advance.com/ai-image-generation呪文生成サイトhttps://note.com/ryon3/n/n5c5c2f79c596呪文生成サイトhttps://huggingface.co/spaces/NoCrypt/DeepDanbooru_string次スレは>>900踏んだ人が建ててください※追記 2023/01/25 23:45:58前スレhttps://hayabusa.open2ch.net/test/read.cgi/livejupiter/1674390799/l10
",名無し,23/01/25,23:42:23,dAwt
13,"
夢がかなう奴と叶わない奴の違い
","頭の良さ
",名無し,23/01/27,14:09:39,CpAW
14,"
おんＪ株式投資部 その174
","初心者に優しく投資スタイルの押し付け厳禁みんな儲けて幸せに投資は自己責任で!jien !バルサン日経225先物https://nikkei225jp.com/chart/米国株先物https://nikkei225jp.com/nasdaq/世界市況https://www.nikkei.com/markets/worldidx/モーニングスター(投信検索サイト)https://www.morningstar.co.jp/初心者向け学習ツール（東証マネ部）https://money-bu-jpx.com/次スレは >>950 が立ててください。950が立てられない場合は >>970 が立ててください。>>950 踏んだ人は次スレ立てる時にアク禁引き継ぎにチェックすること前スレhttp://hayabusa.open2ch.net/test/read.cgi/livejupiter/1672115099/
",名無し,23/01/16,10:44:47,PHuP
15,"
雪降っとるやんけ！
","
",名無し,23/01/27,13:42:36,Gkbv
16,"
まんこってちんこみたいにあったかいんか？
","純粋に気になる
",名無し,23/01/27,14:14:23,3YCn
17,"
Python詳しいやつ来てくれ
","import kivyfrom kivy.app import Appfrom kivy.uix.button import Buttonfrom kivy.uix.image import Imageclass MyApp(App): def build(self): # AとBのスプライト用の変数にそれぞれ外部からロードした画像を割り当てる self.A_image = Image(source='/storage/おちんぽ/ぬぬぬ/images .jpeg') self.B_image = Image(source='/storage/おちんぽ/ぬぬぬ/foooo.jpg') # ボタンの画像をロードし、表示します。 button_A = Button(background_normal='/storage/ぬぬゆ/乳首ボタン/るる.jpeg', pos=(100, 100)) button_B = Button(background_normal='/storage/ぬぬゆ/乳首ボタン/るる.jpeg', pos=(200, 100)) button_A.bind(on_press=self.display_A) button_B.bind(on_press=self.display # スプライトを描画する self.add_widget(A_image) self.add_widget(B_image) self.add_widget(button_A) self.add_widget(button_B) def display_A(self, instance): print(""Sprite A Displayed"") def display_B(self, instance): print(""Sprite B Displayed"")if __name__ == '__main__': MyApp().run()ボタン押したら画像が表示されるようなコードを作りたいんやがエラーが出るんや これどこが間違ってる？
",名無し,23/01/27,13:31:12,vxcp
18,"
【朗報】メタバースの土地活用で年収数千億円儲かる仕組みが発見される
","おまえらやれよ国際・国内特許も出願中だしあんしんやぞhttps://metarim.city/
",名無し,23/01/27,14:09:50,4m8D
